source,fold,n,source_total,pct_within_source
CODE-15%,0,68521,342755,19.991247392452333
CODE-15%,1,68607,342755,20.01633820075564
CODE-15%,2,68505,342755,19.98657933509358
CODE-15%,3,68530,342755,19.993873174716633
CODE-15%,4,68592,342755,20.01196189698181
PTB-XL,0,4371,21799,20.051378503601082
PTB-XL,1,4289,21799,19.67521445937887
PTB-XL,2,4393,21799,20.152300564246065
PTB-XL,3,4414,21799,20.248635258498098
PTB-XL,4,4332,21799,19.872471214275883
SaMi-Trop,0,345,1631,21.152667075413856
SaMi-Trop,1,341,1631,20.907418761496015
SaMi-Trop,2,340,1631,20.846106683016554
SaMi-Trop,3,293,1631,17.964438994481913
SaMi-Trop,4,312,1631,19.129368485591662
